epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1461.77,0.8079,0.44897,0.85217,0.80458,0.63941,0.72464,0.5136,0.98283,0.56506,0.91286,0.0096238,0.0096238,0.0096238
116,1473.93,0.81114,0.43818,0.85398,0.82057,0.65188,0.74149,0.53119,0.92313,0.51975,0.89857,0.0096205,0.0096205,0.0096205
117,1486.08,0.81313,0.43467,0.85139,0.82874,0.64056,0.73606,0.5249,0.93168,0.52839,0.90289,0.0096172,0.0096172,0.0096172
118,1498.22,0.79943,0.43311,0.85094,0.81423,0.63875,0.73748,0.51965,0.95731,0.53349,0.90834,0.0096139,0.0096139,0.0096139
119,1510.41,0.77333,0.42506,0.85241,0.81343,0.62712,0.73155,0.52017,0.95036,0.54493,0.90862,0.0096106,0.0096106,0.0096106
120,1522.66,0.78473,0.43322,0.84661,0.82893,0.62846,0.72887,0.52134,0.92172,0.54301,0.90648,0.0096073,0.0096073,0.0096073
121,1534.82,0.75598,0.41406,0.84059,0.82939,0.63657,0.73982,0.53109,0.90868,0.5295,0.90235,0.009604,0.009604,0.009604
122,1546.98,0.77703,0.42429,0.84571,0.82128,0.64707,0.74202,0.53218,0.91668,0.52247,0.90079,0.0096007,0.0096007,0.0096007
123,1559.23,0.77572,0.4254,0.83984,0.83807,0.63691,0.74459,0.5355,0.92664,0.52395,0.90078,0.0095974,0.0095974,0.0095974
124,1571.42,0.77178,0.41768,0.84416,0.82483,0.65852,0.75021,0.53886,0.91196,0.51134,0.90015,0.0095941,0.0095941,0.0095941
125,1583.59,0.75361,0.41972,0.84423,0.81405,0.64735,0.73862,0.53397,0.90879,0.51529,0.89708,0.0095908,0.0095908,0.0095908
126,1595.79,0.77322,0.41898,0.83913,0.81705,0.64766,0.73946,0.53798,0.88901,0.50867,0.896,0.0095875,0.0095875,0.0095875
127,1607.77,0.7491,0.41007,0.83874,0.81325,0.64004,0.7184,0.52025,0.90015,0.52999,0.89835,0.0095842,0.0095842,0.0095842
128,1619.91,0.75007,0.41168,0.83994,0.80707,0.63869,0.72999,0.52203,0.92749,0.53891,0.90075,0.0095809,0.0095809,0.0095809
129,1632.02,0.74258,0.41039,0.83787,0.77311,0.6109,0.68439,0.48574,0.98895,0.60842,0.91599,0.0095776,0.0095776,0.0095776
130,1644.12,0.73731,0.41945,0.83859,0.82752,0.64191,0.74533,0.53975,0.88856,0.51516,0.89243,0.0095743,0.0095743,0.0095743
131,1656.41,0.75564,0.40736,0.83974,0.84968,0.64493,0.74741,0.54121,0.88344,0.5086,0.8921,0.009571,0.009571,0.009571
132,1668.57,0.74134,0.40376,0.83626,0.85141,0.64689,0.74757,0.54598,0.87801,0.49673,0.89257,0.0095677,0.0095677,0.0095677
133,1680.69,0.73499,0.40379,0.8384,0.83462,0.65093,0.74832,0.55033,0.8629,0.49184,0.88671,0.0095644,0.0095644,0.0095644
134,1692.85,0.74584,0.4072,0.83802,0.83206,0.65705,0.74911,0.5397,0.90285,0.51029,0.89268,0.0095611,0.0095611,0.0095611
135,1705.04,0.72948,0.40154,0.83455,0.84724,0.6264,0.73392,0.54181,0.85825,0.50429,0.88916,0.0095578,0.0095578,0.0095578
136,1717.23,0.71198,0.39985,0.83492,0.86693,0.63139,0.74733,0.54989,0.84428,0.48628,0.88366,0.0095545,0.0095545,0.0095545
137,1729.37,0.74182,0.40025,0.83369,0.82863,0.64262,0.73887,0.54337,0.8752,0.51802,0.89118,0.0095512,0.0095512,0.0095512
138,1741.57,0.72317,0.39658,0.8344,0.84309,0.62925,0.73458,0.53614,0.88947,0.53447,0.89465,0.0095479,0.0095479,0.0095479
139,1753.67,0.72225,0.39893,0.83589,0.83787,0.64992,0.7538,0.55626,0.85209,0.48998,0.89018,0.0095446,0.0095446,0.0095446
140,1765.94,0.70531,0.38612,0.83017,0.84932,0.65372,0.75576,0.56094,0.8174,0.49079,0.87955,0.0095413,0.0095413,0.0095413
141,1778.15,0.71026,0.39599,0.83525,0.85184,0.64493,0.75103,0.55768,0.82393,0.4856,0.88273,0.009538,0.009538,0.009538
142,1790.31,0.71103,0.40398,0.83618,0.85735,0.6542,0.76087,0.56026,0.83576,0.49975,0.88348,0.0095347,0.0095347,0.0095347
143,1802.48,0.71029,0.39781,0.8321,0.83706,0.65624,0.74879,0.54959,0.8445,0.49551,0.88612,0.0095314,0.0095314,0.0095314
144,1814.64,0.70577,0.38705,0.83132,0.84952,0.6447,0.74694,0.55855,0.82959,0.49086,0.88534,0.0095281,0.0095281,0.0095281
145,1826.68,0.70314,0.38432,0.8293,0.8606,0.64013,0.75213,0.56466,0.81101,0.48636,0.8807,0.0095248,0.0095248,0.0095248
146,1838.94,0.69498,0.38052,0.82892,0.85643,0.64867,0.75643,0.55837,0.83532,0.48083,0.88566,0.0095215,0.0095215,0.0095215
147,1851.54,0.67898,0.37685,0.82751,0.84575,0.65446,0.76129,0.56629,0.82342,0.48564,0.88127,0.0095182,0.0095182,0.0095182
